@RELATION Twitter-Messages

@ATTRIBUTE text STRING
@ATTRIBUTE class {angry, disgust, happy, sad, surprise, nocode, not-relevant}

@DATA
'USER USER USER Merci pour le partage! USER',nocode
'Dorian Gray with Rainbow Scarf #LoveWins (from USER URL URL',happy
'USER USER ... Replace with your wish which the artist uses in next installation! It was entralling!',happy
'USER thank you for following me back. Great to hear from a diverse &amp; interesting panel #DefeatingDepression USER',happy
'USER USER What a beautiful jewel / portrait. Is the \'R\' for Rex ?',happy
'USER USER I have always loved this painting.',happy
'USER say wot, mate?',nocode
'Two workshops on evaluating audience engagement USER + USER early July URL URL',nocode
'A Forest Road, by Thomas Gainsborough 1750 Oil on Canvas  USER URL',nocode
'Lucky USER Good luck USER &amp; see you soon :) USER USER',happy
'\"1...2...\" \"non arrête mon brush!\". l.Alma|A favourite custom|1909 USER #bonlundi URL',nocode
'The two works in our free #DuccioCaro exhibition play with space, movement, and architect... URL via USER',nocode
'Yr 9 art students are off to the USER today. Enjoy!',happy
'USER Indeed',nocode
'USER More #Waterloo200? Live #Periscope tonight with Dan Snow USER in #BonaparteAndTheBritish URL”',nocode
'USER Please vote for us as USER #sidwell\'s local charity PRT URL URL',not-relevant
'#AskTheGallery Have you got plans to privatise any other roles USER ?',not-relevant
'New digital installation by Girton Artist in Residence USER will be projected on the façade of the USER tonight from 9pm!',nocode
'USER USER so beautiful',happy
'I\'m with (with Sussanna at USER [pic] — URL',nocode
'USER awesome museum',happy
'USER #AskTheGallery Why do you pay your brilliant staff so poorly?',angry
'A sneak peek USER #IndigenousAustralia exhibition URL',nocode
'Couldn\'t agree more ; counting the days till we see USER again ! URL',nocode
'#bennicholson USER URL URL',nocode
'USER USER of course! #InstaMuseum',nocode
'USER soo beautiful',happy
'USER I do, I do, I do. :)',happy
'USER one of my favourite paintings! He was a great artist',happy
'Free CPD afternoon for USER 2016 \'War Games\' exhibition on Thurs 2 Jul from 4pm #plymouth. Details at URL',nocode
'The Magna Carta exhibition USER was quite extraordinary. Very imaginatively done. Even a bit of Tony Hancock in there!',happy
'Over 100 people signed up for \'What\'s It Worth?\' USER Don\'t miss out, book now! #cdavalue #PhDchat #ahrc10 URL',not-relevant
'USER USER',nocode
'Kudos, USER for a top-flight WC exhibition!',happy
'Jack from USER blogs about how #museums can keep up with tech &amp; youngsters, its all in the collection - URL',nocode
'USER USER USER URL',nocode
'USER USER USER USER ooh... Please let us know how it is!!!',happy
'I miss Cornwall so much. #ff USER USER USER USER USER USER USER',not-relevant
'£10 off USER URL membership plus offers from USER USER with USER URL',not-relevant
'USER USER Spain? Egypt?',nocode
'Enjoying the amazing collections USER with the family URL',happy
'Ædwen\'s Brooch - story of an #AngloSaxon lady, filmed at USER for USER &amp; USER exhibition URL',nocode
'USER Beautiful painting.  Thank you.',happy
'#definingbeauty USER a truly breathtaking exhibition.fascinating on portrayals of women URL',happy
'USER USER USER USER USER USER haha not in my case...',nocode
'The Great Court of the USER #london. #photography URL',nocode
'USER URL 👋🎨',nocode
'USER It\'s one of them things, innit?',nocode
'Discover The Arts with Social Media: NOHO Co-Founder Rod McIntosh on NOHO Origins* URL USER #London #Art',nocode
'USER thank you for the favourite, following you back, your mum USER did a great job at #DefeatingDepression USER',happy
'Treats for the end of June USER followed by #JacksonPollock USER *perfect summer*',happy
'USER Is this Ivana moonlighting? USER #Hepworth URL',nocode
'USER USER One of the best places in the country.',happy
'USER USER Rosetta stone',nocode
'Gemma is visiting Australia today but has failed to find a Hemsworth. Keep trying! #AustrianGP USER #Oz URL',nocode
'USER USER Awwh - possum!',happy
'Only two more weeks to see our exhibition on Roman food USER - stunning objects from USER , USER &amp; Corinium',nocode
'Wonderful experience, hearing Tim Knox’s #objects2015 keynote on contents &amp; decor of UK country houses in gallery 3 of USER',happy
'A little bit of #Waterloo1815 history USER USER today URL',nocode
'Hooray! USER wins Evolver Prize 2015! See it at USER from 4 July. URL',happy
'Fabulous Enid Blyton exhibition USER Great for kids of ALL ages! USER URL',happy
'Castle Hill Open Day starts at 12. Art, dance, family activities, tours, talks, a nuclear bunker and more USER #CastleHill15',nocode
'USER USER How was the battle controlled? Drums,messages? Did regiments respond to the wrong drummers or instructions?',nocode
'USER coffin for babies?',nocode
'USER Important art and true culture, to effectively counter the culture of violence URL',nocode
'Alla buon ora... Ti ho trovato finalmente... (at USER in London, Greater London) URL',nocode
'USER Enid Blyton exhib\'n opens USER Wed 17 June! We\'ve been helping set up URL URL',happy
'KETTLE\'S YARD: ANTIMUSEUM - meet the Archivist is buzzing! #CastleHill15 USER #explorearchives URL',happy
'\"Lot more I can do with £13.5m\": Director of USER confirms they are not trying to buy export ban Cezanne URL',nocode
'A week writing reports about reports suddenly brightened by the thought of #DefiningBeauty at USER tomorrow with USER',happy
'La fama viene y va... USER USER URL',not-relevant
'Samba time! USER USER #DiscoveryDay URL',happy
