tweet_id,label,author,content
142842947271004160,joy,ProudMahomie23,"Am I the only #Mahomie who notices that @AustinMahone Has almost 300,000 Mahomies?!?!? &lt;333 #PROUD"
143533032714940417,love,kellykristine96,I'm only yours ! #love
147142736355672064,sadness,juliasatoh,No new modern family tonight #disappointed
135122553046966272,joy,LaLa_Always100,Aaliyahs Christmas is almost done ;) #Excitement
142024508256157696,anger,GnarlyGabrielle,I hate when I drive at night and people coming towards me or behind me have their brights on. #annoying
148973134249332737,sadness,Boobzapalooza,I think I miss my boyfriend.. :( #lonely
139483002722979841,thankfulness,MyPetiteMaison,Two big parcels from Francais just arrived courtesy the nicest mailman in the world.  #thankful
137729325876252672,sadness,MikeTPhD,@StephEODonnell which is exactly why I never go to the shark #sad
138452788316348416,love,kaycepitt,adam levinne is my #love #sohot
136779386660720640,love,kcdelsan,"I love you my God! I'm so proud of you, of what you've done for us:) You are truly amazing!!! #faith #love #God"
145655474740662272,anger,ryanfugginword,I dont get this cold one day im good the next i feel like shit then better again #annoying
144547020391194624,sadness,colewbrown,It doesn't really make sense that the Big EAST now has 4 teams from way WEST. #desperation
149569891127660544,fear,beelars,t-minus 10 minutes until interview timeeeee. #nervous
136526055002488832,joy,SugarBooJ,"my back has to get better..i hav a busy fun weekend!!! and cant wait for next weekend Dinner with the fam + extra guest :) #excited"
139727004659494913,thankfulness,brookebez,Gobble gobble bitches! #getfat #thankful
139784166542811137,love,Brendan_Miller2,@TheMik_chaelas Im always excited especially when it comes to my Adele. #Love
138001971864023041,fear,FlyBoyNath,@NathanTheWanted Please could you wish me good luck with my prelims? :D It would honestly mean so much! #nervous xx
139522546386223104,anger,Bailey_Nicole_,Ugh. I have too continue my great turkey weekend with my dads gf and her 3 weird kids. #annoyed
138022026916020224,fear,WubeyOneKenobi,@vickylheywood did you find your key #worried
143417241243885568,anger,dgallimore,Enjoying the look on my brother's face after eating a wasabi nut with nutella on it #disgusting
146759152918736897,joy,iKANDII_,@XxSOo_DOPE_YOxX I heard a commercial on the radio last night that was talkin bout yu... #Proud!!
138752710563467264,joy,reecepollard93,Had a good night :') @teeeelouise #happy
148807019959296000,love,TheRealCoopa,Shoutout to everybody tell me #HappyBDay thank y'all #Love
149855958934372352,anger,JJSwash,#WorstChristmasGiftEver your missus' sitting on someone elses lap and asking for a present. #Rage
148577813379825664,love,callmeMICnasty,A little attitude problem all good it'll make ishh last.. :) #Love
143884512298934273,anger,Cool_Breeze401,"Hey #RedRoofInn: I want to charge my phone, overnight, NEXT TO ME; not across the room. Outlets NEXT to the bed would be lovely. #frustrated"
148482073462710273,sadness,xxosusi,"@justinbieber i see all these beliebers getting noticed, but I haven't gotten noticed :/! #DEPRESSING 5"
139090302739824640,fear,reesy2210,@leenadalmartin how is the tennis going? #nervous
148805843842904064,sadness,ms_rhima,"Wateva mks u happy, am down...#sad"
136567868954394624,thankfulness,VivaLaTarp,Wow...2 years ago today my life changed forever...I am proud of how far I've come and looking forward to a bright & happy future #Thankful
143839033821368321,love,HeatherBrieanne,jack johnson as i write my research paper #love
142431086167863296,joy,Darcyrows,watching Home Alone.. love the family Christmas classic! #happy
137647779513245696,love,_anyabray,"MY LIFE IS LIKE A ROLLERCOASTER, COMING OFF THE TRACKS SPINNING ROUND AND ROUND @tinchystryder #LOVE !!!"
140289584717238273,love,therealkiid,I think I'm bout to buy a gas mask bong #Love
147763648536907776,sadness,Shay_4Lyfe,Gotta go see mom...and Grammy. #sad
140113790715969536,joy,samantharaex,My whole car just gave some homeless guy money. #Proud
146796361491300352,love,SANAMNAZAR,Is @RobKardashian still with that Adrianne girl from CHEETAH GIRLS? Cus I'm watching the episode where he shows her name tattooed. #love
