@RELATION Twitter-Messages

@ATTRIBUTE text STRING
@ATTRIBUTE @@class@@ {anger, no_anger}

@DATA
'MENTION its a modded 360 so you cant send it back  That Red Ring of Death sucks  It took weeks to get mine back from Microsoft',anger
'Why did sound input for my computer stop working  Its not the mic or jack USB webcam mic doesnt work either Checked input controls',no_anger
'im bored MENTION hope your wlan will go today',no_anger
'MENTION aww that sucks',anger
'waiting for PRINCES PROTECTION PROGRAM online in English version  so long',no_anger
'is having a quiet mothers day evening happy mothers day to all the yummy mummies',no_anger
'MENTION  Its fully of grabbyhands and bad candy thanks 3 Hows you',anger
'The only thing about preparing 5 sermons in one week is just when you think you are doneyou have to prepare the powerpoint slides',anger
'This place blows My UberTwitter isnt functioning here Had to switch to TB',anger
'MENTION Im just following you because were both wearing Converse',no_anger
'Whoo BGT I really must multitask and do my Art work at the same time though back at College on Monday',no_anger
'Thank god for Starbucks',no_anger
'the sun burned me todaymy arms look angry  Party tonight tho babes woop',no_anger
'MENTION thanks dude Being a low level business man its hard to get normal credit cardsalso our place is not listed with any bank',anger
'FACT 1 iHate DirecTV OnDemand wa passion that burns wthe white hot intensity of 1000 suns FACT 2 iMiss Comcast Like a lot',anger
'MENTION fuck  Its only in Canada right now',anger
'MENTION Yes Haha and then when he impaled himself with the crossed keys  Love ScottishtryingtobeIrish Ewan McGregor',no_anger
'Getting ready for mothers DayI love my mom',no_anger
'I am going to be sooooo busy today its not funny i hate busy days',no_anger
'MENTION hey i know ya dont know me but i wanted to say yopu have helped me a lot i was over in iraq and i wanted to thank you',no_anger
'Good luck you I want new shoes  Ly x',no_anger
'Inspite of the spams I cant stop losing this twittergadget I love twitting from Gmail',anger
'Bubbletweet hates me',anger
'URL  Yes it is nice Oh and Kevins shirtless too but you dont see it as well',no_anger
'I feel so useless',anger
'MENTION thanks  great day for it',no_anger
'MENTION always good to see you  even in cyberspace',no_anger
'general cleaning i hate cleaning',anger
'you not going nowhere bitch',anger
'MENTION Sure Ill try n keep that up P You enjoy studying Cya',no_anger
'I hate that I am so stinkin tired everyday  Its so hard to get upI thought I was supposed to start getting energy back now',anger
'y do i even bother getting a new fonei just fucking break them anywayfones dont floatespecially when thrown in the pool',anger
'Needs to unfollow some tweeps its not that I dislike you but I cant keep up with you tweeting literally every 2 minutes Sorry',anger
'MENTION hah yeah I hear that good luck today',no_anger
'I hate it when this computer screws up and decides not to play sound on videos',anger
'MENTION really It looks like its going to rain here but its all just gray La is a bummer sumtimes',no_anger
'SanctuarySunday MENTION its our mission to make Sanctuary a trending topic for the day lots of people on board for itjoin in',no_anger
'Hey MENTION MENTION is mainly depressing  Its all these people who are cheating or dont love each other anymore',no_anger
'MENTION heyy are you ok i know it sucks having her in you dorm but i assure you it will be ok',no_anger
'MENTION going to Disney World lucky bitch',anger
'Meeting up with Karen and the boys for some drinks at The Dock  All I wanna do is drink though    fuck it like Andrea said Haha',no_anger
'The heat is here',no_anger
'im sickyoure sick imy',no_anger
'MENTION Hi Dale your welcome man Hope ur weekend is going well I think I would enjoy your Desert Paradise fun fun fun',no_anger
'i hate snoring remind me if my future husband ever snores were getting a divorce',anger
'Thank you Google for your Adsense Payment  If only the Aussie dollar wasnt as strong',no_anger
'rt  MENTION ughhhh got fuckin pulled over for talkin on my cell in a school zone  FUCK HIGHLAND PARK POLICE rude mofo',anger
'pilot to copilot baby we burnin up   i cannot stress how much this line works',no_anger
'MENTION Thanks for the followfriday mention I really couldnt make up a better name for myself',no_anger
'is a bit tired I blame the rain  URL',anger
'wow i just install twitter fox I am tired to keep refresh my browser',no_anger
'Is sick to death of doing French prep I feel like killing a bitch  chgehcfncshvd',anger
'MENTION just launched twittix v110  not convinced',anger
'MENTION me too I hate my computer so much',anger
'MENTION  noo Selena i really wanted to see you soo badly im your biggest fan dont make me cry',no_anger
'MENTION no  the love of my life is so i guess now im definately shooting for good',no_anger
'Stupid liars Glad they are ignorant because I had a blast',anger
'MENTION haha I wish I have 1 filling that broke and 1 cavitie that needs to get fixed',no_anger
'Arrested in the hotel',no_anger
'i want a ghd straightener but the shipping costs 50 pounds NO DEAL',anger
'MENTION it IS a universal treat',no_anger
'Oh is that time for real',no_anger
'I feel like poop I hate being sick',anger
'MENTION MENTION omg you guys will know when Im getting nasty  My head hurts',anger
'MENTION you are one of my favorite musiciansartists ever Please keep up the great work John',anger
'MENTION who cares its hockey',anger
