tweet_id,sentiment,author,content
149183185085931520,no_anger,PaigeEdwards94,Banning myself from doing anymore christmas shopping #excited
137311478628876288,no_anger,jesserinnn,Cruise on sunday! #excited #tan #noschool
141267579133100034,no_anger,soosykoosy,"Just got caught in the middle of a couple of black guys bro hug/snap thing. Again, #embarrassing #ineedtostopgoingtoclass"
148425009935814656,anger,lilmz_giggles,I hate when people break up with people then act like they happy on a social network stfu you know you not! #annoying
140766508669353984,no_anger,ame2eet,back to Italy in 10 days after 1 year and keep wondering how my country looks like. #worried
136006713420689408,no_anger,MsMeganHarris,7 days to go until my birthday! #excited
147130857323364352,no_anger,Carmenita_28,Were havin a fake ass winter this year 1)fake tree2)no snow3)no st.nick I bet we'll be eating tofu on Christmas or some fake ass food #sad
138696329584066562,anger,maraajayy_,"Blah , i cant explain to myself exactly why i feel like this ??? so ima stay to myself for the rest of the week #annoyed"
137655507744862209,no_anger,Emily_Skaggs13,@haygoodfan1990 i get to see my cousin thats in the navy tomorrow! i havnt seen him in...i dont even remeber how long! #excited
139163397899030528,anger,MaestroMJR,Not to happy at all tonight #irritated
141285437108011008,no_anger,plaguelife,As long as we are both still breathing. Its not to late. #love
135054746854760448,anger,harriric,Loves being in first gear on the motorway!!! Drive properly you commuting arseholes #frustrating
143159755723112448,anger,kaitlyn4everxo,@pshcassiecute omg this guy came through my line that smelled so bad i made peter bag for me so he would leave quicker. #disgusting
140800663335604224,anger,AlexMacIver,@AleBedoya17 are you sure your rangers quality? #frustration
148748887740526594,anger,_itsmicaelaa,what is the point in taking exams? its too damn early! #annoyed.
147387259484766208,anger,mvalicenti,My mom can change my whole mood in a matter of two seconds. #annoyed
144621454762323968,anger,ashleyjoooo,my dad wont stop sending me dumbass forwards!! #ANNOYED
148538274229653506,anger,allie_kres,my house is the definition of a clusterfuck this evening. #annoyed
146726669003137024,anger,S_danielle13,Can already tell these people are going to drive me crazy!? Ugh. #annoyed @keh0415
136543420868067329,no_anger,ohheytray,Ahhhh college basketball all day on #espn #love
140113908668182529,no_anger,mgrocker,Find the beauty that's already there. #americathebeautiful #KeepRising #love
144284368779743232,anger,4eeMy_Soul,Ugh You Like The Virus That Took Over My Lap Top #Annoying
145395106399260672,no_anger,asimone10,@bubbles1057 no problem! now you just have to get your hashtagging started and you will be a pro #love #newbieprobz
147546292829167616,anger,kaythorn_,Hates when people complain soo much. #annoying.
140223925056585730,no_anger,schmairr,gets to finally see a silly boy soon!  #excited
137182766025551873,no_anger,Sam_Stray,#thatawkwardmoment when i sprint to my car to get out of campus secruity giving me a parking ticket #embarrassing
147070618213416960,no_anger,MIR_iSme,I seriously never get mail. #Depressing
141322905773539329,anger,i_sanchez01,OMG. my sisters sooo #annoying :O
147084361920032769,no_anger,DanielaTartaro,Cannot wait to see Sherlock Holmes on Friday #excited
147074847275630593,no_anger,elizabeth_1496,I'm fine until I see you & hear your laugh & see you smile.. Then I fall to pieces.. :/ #sadtweet #depressed
148117382206988288,anger,bronwinning,who even are you anymore? #youchanged #yupisaidit #annoyed
135229562358480896,anger,batman4everr,My mom repeats herself like 100 times when she's tipsy. #annoying
148871218076987393,anger,TheBarbarian123,Hey mom. Sometimes you dont have to talk bad about me. #annoyed #extremelyangry #idoalotofthingsthataregoodtoo
148886364568555520,anger,DesertDoll93,I don't understand how people can abuse animals the way they do. Its absolutley #disgusting
149682767674884096,no_anger,_thesmithers,Tonights one of those night where I wanna lay with you talk and fall asleep in your arms. #love
148057427223379968,anger,profsarahj,"It's funny how, as they've aged, the best looking Rolling Stone is now Charlie Watts #rage"
135103053207568384,anger,Joeanna_HYFR,If Alex Leave After The Break I'm Turning My Tv Off Straight #RAGE #bbuk
136583113974362112,anger,awatson1218,This is taking foreverrrrrr!!!! #annoyed
136920732675489792,anger,patbeebs,I love when @Ali_Miller blames her awkward private experience that's now public on me... #annoying #liar
141299683778772993,anger,miranda_hays,My mom just found out I have a twitter..? #NowShesGonnaStalkMyLife #Annoyed
134988532522557440,anger,siyagumede,nxa! i hate to c pregnant teenagerz #disgusted
142024508256157696,anger,GnarlyGabrielle,I hate when I drive at night and people coming towards me or behind me have their brights on. #annoying
140099138355335169,no_anger,MayaDatKitGirl,Idę się przebrać . I go to party &lt;3 :D #love
141947019735470080,no_anger,morgan_melancon,Can't wait until Christmas :) #homewithyou #presents #love
145498643162599425,no_anger,lisacolon1974,If you live with an open heart and an open mind you will find the happiness you are looking for. #happiness
144974763180302336,anger,golouderevents,@DJDannyBuk then when u get a random tweet u can track back & see what they were referring to. Get the paid app w/o ads tho. #annoying
143201065599385600,no_anger,_NolanA,Shit just doesn't make sense sometimes #disappointed #confused
146435722835009536,anger,janie_ferren,@clara_ferren has played marry the night by lady gaga over 100 times today.. About to throw her ipod out the window #annoyed
147402193731985408,anger,karlajanet321,"Just realized I left my tech shirt at school, hopefully it's in second since I have to go to it tomorrow #Annoyed"
149855958934372352,anger,JJSwash,#WorstChristmasGiftEver your missus' sitting on someone elses lap and asking for a present. #Rage
142364637999013888,no_anger,AMP_Rugby,"@maddisonphoto I'm not mad, just #disappointed"
135834533969920000,no_anger,Krayzie_Twix,@VMonatengCafe is always welcoming and superb fah me. I love MCing here. It's my HOME! #happiness#
134693990103658497,anger,nicOlekaralx,If only my hair was fully curled #annoyed
143603622293409792,no_anger,Music_Maniac_19,I might have to confront two things tomorrow. 😥 #nervous
134696171733127168,anger,BrettKoester19,Sad day in American college sports. PSU rapes... #disgusted
143167218631446528,no_anger,Keerraaaa,#Oomfs thought I was talking about him on my tweets haha -__- #Embarrassing
139555531110096897,no_anger,TayLyssGent,@maddyv123 @maknewton @JordanLeeWalker I'm so so so #SURPRISED #INEEDTOSEE!!!!!
140355034020974593,anger,reannesg,"My alarm just never works on a saturday, #Annoying !"
141921477984399361,anger,ACB1219,This no coffee thing is going to get ugly for someone!!!!!!!!!!!!!!!!!!!! #irritated
137874852576108544,no_anger,UnpredictableT2,At work and im tired and ready to go and i been here 20 mins #sad
147680333016477697,anger,sdunccc_,"Yes I'm 20, and still get child support, so I expect the right amount in my bank account when I wake up on Friday.. #daddyprobs #annoyed"
138745219075158023,anger,MadisonnRoberts,I don't understand u at all!! #annoying
143682079496998912,anger,annaloffredo,Can't keep my eyes open #sleepy i hate  waking up late and going into school late #annoyed
136533577176330240,no_anger,JoySoldiers,Vision is the art of seeing what is invisible to others.~Jonathan Swift #depression #healing #wellness
137919128085348352,no_anger,JCuddi,Terry and Julie's wedding! #anxious
139522546386223104,anger,Bailey_Nicole_,Ugh. I have too continue my great turkey weekend with my dads gf and her 3 weird kids. #annoyed
144886832562311169,anger,_BabyD14,"Some people were dropped when they were babies.You were clearly thrown against a wall, stepped on, and shot in the face with an M16 #Annoyed"
141218306555265025,anger,kt_bulls,I wish my back wasnt killin me like it is right now ugh #annoyed
142078220802592768,no_anger,elllojadee,"I wanna go to bed , but i cant stop texting you #Happy"
135294598170943488,anger,JinxstaJX,You know them people who think it's okay to not cover their mouth when they cough?? #rage
135071953089335296,anger,TheeGoldenGirl,How come every time I want a shift covered nobody can do it but when someone needs me to cover their shift I do??!! #annoyed #toonice
140073439619846144,no_anger,panic_andy,Finally stopped the habit of stalking off people's profile. #achievement #proud
142744357693427712,anger,sad_honeybee,I like actually having conversations with people.. Not jus 2 word sentences that I don't even know how to respond to.. #annoying
136850770166427648,anger,Cjm5734,I better get a B on this exam i studied my ass off! #annoyed
146704248908955648,no_anger,Dannosaurous,@TheRealHalstead GUESS WHAT? i'm back onnn twitter. :) time to be #happy.
147532389017595905,no_anger,Bigg_Zoe,do anything for attention! #sad
146670225897701376,no_anger,LordJimothy,Just found out that @J_Ennis will be at my work this week. #excited
142459889854320643,no_anger,dominiquewl,this nigga fumbled ..dang.. #hurt
138452788316348416,no_anger,kaycepitt,adam levinne is my #love #sohot
143875523016278017,anger,jnfullerr,I hate people especially in big crowds that's why I will never go to newyork! #annoyed
141880519603400704,anger,sheera3333,"@age_uk @gransnet I feel that all older people do not/never hv hd the rights they/we require, perceived as nuisance.@gransnet #Disgusted"
140304336407363584,no_anger,MorganBirman,i wish i had somebody to cuddle with right now #lonely
140827202622193664,no_anger,cosell123,Hate when boyfriend leaves #lonely
147484760128749569,anger,LindeyLu13,Wow I was looking forward to that game. #angry #ugh
149348316881231873,anger,tfdowdy,Now I know why I unfollowed you in the first place... here it goes again. #annoyed
140306390769074178,anger,HoyMeetsWorld,Hate getting blown off #annoyed
143490684207378434,no_anger,SJoCrawford,I feel like my bedroom makes me hate life. And I don't know why #depression #sadness #unproductivity
135839406606131200,anger,sjaox,"Was supposed to have my first Saturday off work in 3 months yesterday, and ended up being called in. #annoyed"
140141878396985344,no_anger,mcip__,First time in 4 years that I didn't go wait on line for Black Friday #disappointed
140558158501380096,anger,helloimaboy,Wish the internet would stop being a poo brain! #annoying
143129255369383936,no_anger,ErrVay,"I miss my family so much.. My mom my lil sister and my lil brother, it'll be my first Christmas without them.. #Sad"
147378596829335552,no_anger,MargieeKidd,A smile will never appear on that pretty face of yours.. #depressed
142450528436232193,anger,Evan_Youkhanna,Wow why can't my mom be more like my dad! #annoyance
138415223630602241,no_anger,Gomez_KingLos,Nervous for new trimester :/ #worried
140975274740297728,no_anger,sarahmsalter,@CherylBle I'd say the 11 point super-low... #sad @homeloanninja @TimBledsoe
145655474740662272,anger,ryanfugginword,I dont get this cold one day im good the next i feel like shit then better again #annoying
139508858954588161,no_anger,neth_n,Laying on my sisters shoulder #love #family
147763648536907776,no_anger,Shay_4Lyfe,Gotta go see mom...and Grammy. #sad
147507801101570048,anger,cait_melch,people that tweet dumb shit #annoying
140943385908359168,anger,NaturallyKurved,#somf so nasty for some of dhese pics i be seeing on mah TL #disgusted
139115877382619137,anger,allisonkate16,Fire alarms are a joke #annoying
143066512931045376,no_anger,BrahandOrder,"to all of you not studying for #lawschoolfinals, I just want to shout a big F U. @rsever1 knows what i'm talking about #depressed"
138001971864023041,no_anger,FlyBoyNath,@NathanTheWanted Please could you wish me good luck with my prelims? :D It would honestly mean so much! #nervous xx
144547020391194624,no_anger,colewbrown,It doesn't really make sense that the Big EAST now has 4 teams from way WEST. #desperation
143839033821368321,no_anger,HeatherBrieanne,jack johnson as i write my research paper #love
141848810254106624,anger,I_AmDebb,"mom, your already in the car just drive me to school instead of the next bus stop #annoying"
147702081044758528,anger,jessydels,So apparently there was a bedbug on this kids neck in the lunchroom. I'm so #disgusted
145936345557237761,no_anger,kellyrichart23,Getting our #Christmastree ((: #YAY #EXCITED
135397476726345728,anger,JBCFlyers19,Ok...  Why are men so clueless sometimes?  I seriously would like to know. #Frustration!!!
140862083729342464,no_anger,Jereltown,Some people still cant figure out how to #love
149290361796296705,no_anger,Brittney0112,Gonna hide out in the bathroom for a few minutes. #sad #needabreak #tiredofworking
138980613339357184,anger,samxxi__,And all I need is one fuckin sheet stamped! #rage
138351586392027137,no_anger,Gemdouglasx,"my horoscope says im going on an exciting trip, it will be just the break i need and i should enjoy every minute of it. #excited."
149361795931439104,anger,MeganByrd22,guh why does netflix always stop working when I wanna watch Glee #firstworldpains #frustrated
139753851631837184,anger,Oh_MellNawww,I just put waaayy too much sugar in my coffee. Is this what diabetes tastes like?? #disgusting
146431424562610177,anger,kathkoller,"Bitch, don't blame this on me. #annoyed"
149569891127660544,no_anger,beelars,t-minus 10 minutes until interview timeeeee. #nervous
148884629884112896,no_anger,_Hannahfitton,4 More sleeps till @Onedirection #Excited
140782783235756032,no_anger,_ericabrown,Apparently zach sooley's going to fuck me on monday...? #excitement #overwhelming
139098555083276289,no_anger,hsnowberger,Mmmmm black friday is almost here #war #love
135481713991233536,no_anger,KellerKennedy,@nalleyykill that's the only way i can get you to my house in less than 30 minutes.. haha #sad
146081539279683584,no_anger,SabrinaDanelle,I've never been so confused in my whole life. #depressed
140074797546749953,anger,briancaruthers,"If you like your @Netflix movie to retrieve every 30 seconds, go ahead and update netflix on Wii.  #irritating"
145554751352868865,no_anger,collldesrochers,Today's not going as planned :( #sad
