tweet_id,label,content
1961742455,no_anger,shower before doctor's appointment
138004295558758400,no_anger,Finally getting my peppermint hot chocolate from Starbucks. #excited
143042976392818688,no_anger,wish i had friends to hangout with #lonely
137287974911098880,no_anger,birthday in just over 2 hours #excited
1962104716,no_anger,@induce1 Panchito's burfday party tonight... wish you were here kiddo!
139989157933105152,no_anger,had the funniest night ever with @meganoakman #mobin #blackfriday #love
138557018020651008,anger,Sleep would be nice about now...ugh its so hard for me to fall asleep!
1961420714,no_anger,"@philispig  Is competition around the corner? if not take it slow for at least a week. Twisted my ankle back in jc, awfully painful."
149869590980198400,anger,"and she sleep, she need to be at school  ."
136862324119183360,no_anger,Just looked in my senior year book funny what ppl wrote only a select few stay tru to there words #sad
143427566504648704,anger,My mother is such a poor liar
1694399507,no_anger,@Remy_Foster Just so i can see how they look with the other icons. Both themes btw.
143773228328951809,anger,I hate Chatham. I can't park so why do you all have to take the non parallel spots?   #baddriver
1753178575,no_anger,Happy Mother's Day to all mothers including my own mom!
139151578669129728,anger,Halloween : Candy . Thanksgiving : Food . Christmas : Gifts . New Years : Drinks  Valentines : Sex  Birthday : All Of The Above <-
135215407849160704,no_anger,I legit don't know what to do with myself #depressed
143038152502812673,anger,"4:44am and I'm bloody awake, can't sleep"
140456207847653376,no_anger,@justinbieber From One Time to Mistletoe :O #proud 49
139771339048357889,no_anger,@Jason_Prior I'd love stewie to be real. And phew! Thought there was two of you for a minute there #worrying haha x
139977670208405505,no_anger,i wish i could be home for a while #homesick
145739765742977024,anger,With my most favorite people
146965850845491202,anger,Pet peeve... Running late when I don't have to be ....
143431567451238400,anger,Why do you keep doing the same thing when you know i dont like it?
1964148143,no_anger,"@dollyblowflake Hi there.  I agree!  Small children should be running about happy, not breaking down in tears"
1966197101,no_anger,why is this english homework so hard  i seem to be getting nowhere
135784762370568193,anger,#ThingsPeopleShouldntDo tweet abt things instead of talking to the person abt it
148951478055350272,no_anger,I look into your eyes & I see my best friend. I see someone I can trust.  I see how much you care. Most of all I see my other half. #love
146767356113334272,anger,the attack of the hulu commercials
1753238323,no_anger,im such a sucker for great cottys
135549866414841857,no_anger,this is better than not being in each others lives at all #happy
140871625959669760,anger,These people need to stop touching my stuff
139097800410542080,no_anger,"@MarioCreatura Don't get nervous, but I agree with you on the name... #surprise! ( @davidwhite020 @tony_pearson @elizcro )"
1960269399,no_anger,weekend along with the summer is here so why do I feel sad?
136584117948121088,anger,#Life ► sista in Tenn lost her baby after one breath in world and hospital sent her baby home in a cheap ass cooler! #Socitey! #Outrage
141049450847154176,anger,It bugs me so much!!! I'm about to go wake up my mom to give me something that can make me go to sleep
147494100516614144,no_anger,Good morning :) last FNL later :) see you! #excited
147991126375276544,anger,This dick I work with always tryna outshine some damn body. Sit yo old ass down dude. I hate men that is always bitched up.
140306732130906112,anger,Why am I the freaking middle man?
146136764032106496,no_anger,"I can't believe how desperate these hoes have become... No pride,No dignity, No self esteem, No hope #Sad"
142311501066285056,anger,Wish I didn't have this presentation in the morning I'm in need of a drink
145747385719595009,anger,@cassalicious1 ur not the only one who gets that.
137388212023865345,anger,"I love talking to people, and carrying on a one way covo with myself !"
136593974696747009,no_anger,ahhhhh mrs.right was playing on the radio omg its the first time !!(o_o) #sad
146022486864171008,anger,Ughhhhh da bears lost that one all on their own.
147705171416330240,anger,"#Ihate christmas, buying for a boy is probably one of the hardest things ever"
136755786838843392,anger,jeez nw boys and guyz alike r now using vodka soaked tampons to get hi...   !!!
141992500205338624,no_anger,I finally know which friends I can trust #happy
137643622358188033,anger,Okay... The Depot is starting to bug me...
139790827516985344,no_anger,Me and my bunny are watching the parade and The Fresh Beat Band is on! <3 #excited
149240077002878976,anger,Still not down christmas shoppin
144414776934674434,no_anger,Left my ipod at home -___- #depressing
1753275971,no_anger,"#SanctuarySunday @nirroca yay for #Sanctuary, I may watch Requiem after breakfast!"
149361466540171264,no_anger,"Being told the only good thing about me is my ass, well thats depressing! Haha. What are you gonna do?! #douchebag #yourstillmybrother #LOVE"
143013228568522752,anger,I hate when people that I'm mad at retweets stuff I say.
1957138659,no_anger,Feels like im going to cough up a lung
141976055526338561,no_anger,ohh dat was echt heel lief van jou hihi #love
138995583003267072,no_anger,whats your set time for saturday at ally pally?? #excited @petetong1
149277175026163712,anger,"A lot of my mates are complete hypocrites on facebook. How old are you? & no, you're not tough behind a computer screen. ;)"
147896592517693440,anger,Taking care of my mom because I have worthless sisters who care more about their social lives...
146318844905000960,no_anger,My Tummy feels funnyy. #Nervousness
143837654524497920,no_anger,@justinbieber I love this moment when you take some time to get together with family #PROUD 24
1960913749,no_anger,I'm extremely hungry.... and the only thing I have in my house is Soup...  I don't like soup... *pouts*
144558303907811328,anger,@EmilyJoseph5 he has accused me of stealing a billion times!
140877888722440192,anger,When people send me SPAM! And don't even bother to follow me!
143005973156605953,no_anger,My emotions are all over the place a lot of #changes#exciting :)
139074402183688192,anger,"Yes, I'm getting back into #twitter. #facebook is getting too   :P"
149821445634142208,no_anger,Just made my first boiled egg #proud
148777354255269889,anger,cab was late 45 min today!!!
149187164184383488,anger,"Not even an hr into work & they already told me I look a lot like my sister, twice! I know I do! -____- #ughhh"
1966047176,no_anger,"@lomara It was a lot of stress, though, so with that and supporting two big families he never quit smoking and died of lung cancer at 51."
146371133434896384,anger,my sister says the most irrelevant things -___-   .
149864040162803712,no_anger,"NO MORE BB, wohooooo :) Got an iPhone4S as my xmas present  #happy"
142336926421237761,no_anger,"I've got a free weekend this weekend, a lot of my work I need to do needs to be done in placement. #happy"
136928485636706304,no_anger,Orlando this weekend going home next wednesday :-) !! #HAPPY
147478475291369472,anger,feelin' left out. insert passive aggressive tweet here.#everyonechillout
143430658268741633,no_anger,Want someone to come spoon :( #lonely
140147679018754048,anger,that random strip of hair on your leg that you missed while shaving
136545194832179200,anger,I swear the verizon stores in emporia are a joke!
138803851775049728,anger,@Gabby_Quintal stop tweeting all I see is you on my twitterfeeed
137983290777944064,anger,"My mom said were leaving at 2. She was like rushing me. Now it's 2, and she hasn't even showered and I'm completely ready."
141267880078622720,anger,Students piss me off. I felt so ugly today.  .
138085686698979328,no_anger,In bed at 9:45? #big60 #bliss
142247088665796608,anger,Walking around the whole school passing out reminder slips.. Yes!!
142150574555660289,no_anger,I really cannot believe December is here again. Happy Advent Calendar Opening Day. Meeting some of my childhood heroes tonight  #excited
141024093033070592,no_anger,I have the #dopest circle of friends! #Love
144402216835497984,no_anger,clients are already planning for a more secure 2012 by reviewing their mortgage now. A December like never before. #happy
135390579499610112,anger,A LGTB teenager was burned alive yesterday in Detroit. When will society grow to accept people.
149325208942157824,no_anger,The night took a turn for the worse... why???? #sad
144446236731256832,anger,Who wouldve thought raising money for someone that's done so much would be a challenge ... #ChurchKids
138730504689160192,anger,"i sure wish my mother would go buy some milk , so i can eat a bowl of mini wheats !"
146622604214665216,anger,This girl only talks about her boyfriend
138254814994903041,anger,Flipping tweet not working!  !
135257691470839808,anger,Nicki be so dramatic all the time
142312827682684928,no_anger,@Halfpennylondon coming to do some trying on tomorrow. Will eating nothing but dust tonight. #excited
145268077989335041,anger,How the hell is Harry Potter NOT up for an Oscar? That is fucking stupid and ridiculous! >.<
138687278909362176,no_anger,Summer '13 is going to be my make it or break it point --I have to take the CRT & RRT test n the PCAT #nervous
136589367681630208,anger,If I see one more couple its gonna get ugly!
148449500292329472,anger,some people are worse than squidwards musical talent.
143862953513463809,anger,I have to unfollow this bitch. I can't stand her tweets mainly bc I can hear her voice saying em!
147135204266487808,anger,"sometimes, i just don't understand people"
142260716181790721,anger,My iphone 3GS acts weird when its plugged into the adapter?? Has done for a while now.  i tap on an icon another icon  responds!!
139104736002588672,anger,Been asleep most the day....feeling better now...but now wide awake and can't sleep
146778824099639297,anger,"Fuck Walgreens, they take FOREVER   #justwantmydamnpills"
1962321229,no_anger,Exactly 2 weeks left in Sigma
147453427176312832,no_anger,"Best evening. I love my boyfriend #sosoppy decorated, played games, listened to xmas music, now snuggling and eating ben and jerrys! #happy!"
135083023682121729,no_anger,"@CodySimpson #CoastToCoast Sweden... Dreams do come true, right? #love 15"
146372970133209088,anger,SO tired of trying to make someone like me..
1751000134,no_anger,@_owl_ ah but you're already on my list
139478803083829249,anger,Divorced parent kids are destined to hate holidays. Having to rush around to 3 different places isn't a happy holiday.
144606156621492224,no_anger,@elizadushku I meant shout-out of course. #love.. #YouGuysAreExtraordinary
135811932530810881,no_anger,it feels like the world is all of a sudden turning against me!:( #depressed .
147754385592696833,anger,I'm Tired Of These Damn Eggs In My Mentions
148987065416167425,anger,How do I get rid of these random egg mentions?
143190300385484801,no_anger,Distance is just a test to see how far love travels. #truelove #love
140599342800187392,no_anger,Today's sermon is on 1 Corinthians 13 (: #love
141134019743055872,anger,Hate people that get twitter because everyone else has it
135761921038229504,no_anger,She's my kind of rain #timmcgraw #love
139438111578005505,anger,Ew my GPA should not be this low with 2 honors classes -.- #wtf
